   2929 
     83 IPR013087	Zinc finger C2H2-type
      1 IPR041476	TRAF3-interacting protein 1, C-terminal domain
      1 IPR041466	Dynein heavy chain, AAA 5 extension domain
      1 IPR041430	ATRX, ADD domain
      1 IPR041412	Xrn1, helical domain
      1 IPR041373	Reverse transcriptase, RNase H-like domain
      1 IPR041235	Exportin-1, repeat 2
      1 IPR041228	Dynein heavy chain, C-terminal domain
      1 IPR040911	Exostosin, GT47 domain
      1 IPR040892	RPN1, N-terminal
      1 IPR040485	Exportin-1, repeat 3
      1 IPR040455	Atg6, BARA domain
      1 IPR040247	Protein of unknown function DUF5524
      1 IPR040234	Glutaminyl-peptide cyclotransferase-like
      1 IPR040213	GIR2-like
      1 IPR040139	Cell growth regulator with EF hand domain protein 1
      1 IPR040122	Importin beta family
      1 IPR040099	Zinc finger ZZ-type and EF-hand domain-containing protein 1
      1 IPR040090	Thioredoxin domain-containing protein 16
      1 IPR040079	Glutathione Transferase family
      1 IPR040051	Selenocysteine insertion sequence-binding protein 2
      1 IPR040046	Protein FAM228
      1 IPR039979	Pre-mRNA-splicing factor 18
      1 IPR039798	Sulfhydryl oxidase
      1 IPR039727	SERRATE/Ars2
      1 IPR039726	Pre-mRNA-processing factor Prp40
      1 IPR039718	Ribonucleoside-diphosphate reductase large subunit
      1 IPR039707	Macrophage-expressed gene 1 protein
      1 IPR039694	WD repeat-containing protein 11
      1 IPR039687	Nephrocystin-1
      1 IPR039670	Sterol transport protein NPC2-like
      1 IPR039665	APBB1IP, PH domain
      1 IPR039664	GRB/APBB1IP
      1 IPR039543	Lipid-binding protein POX18/UbiT/NSL-TP1
      1 IPR039487	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
      1 IPR039484	Alpha-1,2-mannosyltransferase ALG9-like
      1 IPR039429	Serine hydroxymethyltransferase-like domain
      1 IPR039411	Ribosomal biogenesis NSA2 family
      1 IPR039397	RagA/B
      1 IPR039360	Ras GTPase-activating protein
      1 IPR039181	EIG121-like
      1 IPR039165	CREB3 regulatory factor
      1 IPR039156	UPF0183/Protein broad-minded
      1 IPR039146	G patch domain and ankyrin repeat-containing protein 1
      1 IPR039030	Calmodulin
      1 IPR038902	Integrator complex subunit 1
      1 IPR038737	Splicing factor 3B subunit 1-like
      1 IPR038659	Alternative oxidase superfamily
      1 IPR038655	Ribosomal protein L27e superfamily
      1 IPR038577	GT10-like superfamily
      1 IPR038557	RIG-I-like receptor, C-terminal domain superfamily
      1 IPR038499	BRO1 domain superfamily
      1 IPR038489	Suppressor of fused, C-terminal domain superfamily
      1 IPR038425	GAT domain superfamily
      1 IPR038377	Sodium/glucose symporter superfamily
      1 IPR038286	Inositol polyphosphate kinase superfamily
      1 IPR038274	Atg6/Beclin C-terminal domain superfamily
      1 IPR038175	CBM21 domain superfamily
      1 IPR038168	Transcription factor DP, C-terminal domain superfamily
      1 IPR037931	Chromatin complexes subunit BAP18
      1 IPR037847	GRAM domain-containing protein 4
      1 IPR037769	Abr/Bcr
      1 IPR037721	Ferlin  family
      1 IPR037666	Coiled-coil domain-containing protein 43
      1 IPR037662	Uncharacterized protein C1orf158
      1 IPR037626	Nucleoporin Nup37
      1 IPR037545	Tripartite DENN domain, FNIP1/2-type
      1 IPR037457	M28 Zn-Peptidase Glutaminyl Cyclase
      1 IPR037313	Serine/threonine-protein kinase N, first HR1 domain
      1 IPR037272	Sodium:neurotransmitter symporter superfamily
      1 IPR037241	E2F-DP heterodimerization region
      1 IPR037239	Oxysterol-binding protein superfamily
      1 IPR037202	ESCRT assembly domain
      1 IPR037171	NagB/RpiA transferase-like
      1 IPR037062	Malic enzyme, N-terminal domain superfamily
      1 IPR036964	Ras guanine-nucleotide exchange factor catalytic domain superfamily
      1 IPR036936	CRIB domain superfamily
      1 IPR036915	Cyclin-like superfamily
      1 IPR036616	Poly(ADP-ribose) polymerase, regulatory domain superfamily
      1 IPR036598	GOLD domain superfamily
      1 IPR036529	Coactivator CBP, KIX domain superfamily
      1 IPR036397	Ribonuclease H superfamily
      1 IPR036317	Cullin homology domain superfamily
      1 IPR036296	SKP1-like, dimerisation domain superfamily
      1 IPR036282	Glutathione S-transferase, C-terminal domain superfamily
      1 IPR036274	HR1 repeat superfamily
      1 IPR036155	Cryptochrome/photolyase, N-terminal domain superfamily
      1 IPR036047	F-box-like domain superfamily
      1 IPR036045	Sec1-like superfamily
      1 IPR036026	Seven-hairpin glycosidases
      1 IPR036013	Band 7/SPFH domain superfamily
      1 IPR035987	Ribosomal protein S8 superfamily
      1 IPR035973	Cytochrome c oxidase subunit III-like superfamily
      1 IPR035969	Rab-GTPase-TBC domain superfamily
      1 IPR035966	Phosphofructokinase superfamily
      1 IPR035963	FERM superfamily, second domain
      1 IPR035902	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily
      1 IPR035824	Endophilin-A, SH3 domain
      1 IPR034905	Sorting nexin-25
      1 IPR034085	TOG domain
      1 IPR034016	Aminopeptidase N-type
      1 IPR033923	p21 activated kinase binding domain
      1 IPR033771	Rrp44-like cold shock domain
      1 IPR033728	Threonine-tRNA ligase catalytic core domain
      1 IPR033690	Adenylate kinase, conserved site
      1 IPR033473	Protein FAM214/SPAC3H8.04, C-terminal
      1 IPR033464	CSN8/PSMD8/EIF3K
      1 IPR033336	Stabilizer of axonemal microtubules 1/2
      1 IPR033332	BTG family
      1 IPR032913	Beclin-1
      1 IPR032911	WD repeat domain phosphoinositide-interacting protein 2
      1 IPR032710	NTF2-like domain superfamily
      1 IPR032458	Histone H2A conserved site
      1 IPR032454	Histone H2A, C-terminal domain
      1 IPR032305	GTP-binding protein, middle domain
      1 IPR032106	2-oxoglutarate dehydrogenase E1 component, N-terminal domain
      1 IPR031981	Mitochondria-eating protein, C-terminal domain
      1 IPR031781	SF3A2 domain
      1 IPR031776	Splicing factor 3A subunit 3
      1 IPR031775	cGMP-dependent protein kinase, interacting domain
      1 IPR031645	Vacuolar protein sorting-associated protein 13, C-terminal
      1 IPR031569	Apextrin, C-terminal domain
      1 IPR031446	Pericentriolar material 1 protein, C-terminal
      1 IPR031253	Homeobox protein unplugged
      1 IPR031083	3'-5' RNA helicase YTHDC2-like
      1 IPR030642	Nephrocystin-1, SH3 domain
      1 IPR030564	Myotubularin family
      1 IPR030464	Lysosomal-trafficking regulator
      1 IPR030442	Liprin-alpha
      1 IPR030394	HflX-type guanine nucleotide-binding (G) domain
      1 IPR030381	Dynamin-type guanine nucleotide-binding (G) domain
      1 IPR030376	Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1
      1 IPR030359	Probable phospholipid-transporting ATPase VB
      1 IPR030223	Protein dispatched
      1 IPR030217	Nuclear RNA export factor
      1 IPR030089	SWI/SNF complex subunit BAF57
      1 IPR029996	Otoferlin
      1 IPR029928	EH domain-binding protein 1-like protein 1
      1 IPR029607	Protein FAM184A
      1 IPR029605	FAM184 family
      1 IPR029523	INO80 complex, subunit Ies2
      1 IPR029515	LAR-interacting protein, Liprin
      1 IPR029241	Testis-specific gene 13 protein
      1 IPR029154	3-hydroxyisobutyrate dehydrogenase, NAD-binding domain
      1 IPR029052	Metallo-dependent phosphatase-like
      1 IPR029045	ClpP/crotonase-like domain superfamily
      1 IPR029041	FAD-linked oxidoreductase-like
      1 IPR029035	DHS-like NAD/FAD-binding domain superfamily
      1 IPR029018	Beta-hexosaminidase-like, domain 2
      1 IPR029012	Helix hairpin bin domain superfamily
      1 IPR028996	Ganglioside GM2 activator
      1 IPR028920	Tox-ART-HYD1 domain
      1 IPR028889	Ubiquitin specific protease domain
      1 IPR028731	Poly [ADP-ribose] polymerase tankyrase-1
      1 IPR028698	Rabphilin-3A
      1 IPR028651	ING family
      1 IPR028643	Inhibitor of growth protein 1
      1 IPR028587	Adenylate kinase 2
      1 IPR028570	Rho GDP/GTP exchange factor Kalirin/TRIO
      1 IPR028427	Peptide methionine sulfoxide reductase
      1 IPR028085	Folliculin-interacting protein, middle domain
      1 IPR028082	Periplasmic binding protein-like I
      1 IPR027914	Domain of unknown function DUF4456
      1 IPR027711	Rmd5
      1 IPR027705	Flotillin family
      1 IPR027681	I-BAR domain containing protein IRSp53/IRTKS/Pinkbar
      1 IPR027673	Exostosin-2
      1 IPR027640	Kinesin-like protein
      1 IPR027443	Isopenicillin N synthase-like
      1 IPR027437	30s ribosomal protein S13, C-terminal
      1 IPR027410	TCP-1-like chaperonin intermediate domain superfamily
      1 IPR027359	Voltage-dependent channel domain superfamily
      1 IPR027357	DHR-2 domain
      1 IPR027318	Epsin-3, metazoa
      1 IPR027312	Sda1
      1 IPR026992	Non-haem dioxygenase N-terminal domain
      1 IPR026915	Usherin
      1 IPR026847	Vacuolar protein sorting-associated protein 13
      1 IPR026791	Dedicator of cytokinesis
      1 IPR026780	Proline-rich nuclear receptor coactivator 1/2
      1 IPR026739	AP complex subunit beta
      1 IPR026701	Coiled-coil domain-containing protein 180
      1 IPR026611	Serine/threonine-protein kinase MRCK alpha
      1 IPR026551	Frizzled-4
      1 IPR026169	Mitochondria-eating protein
      1 IPR025986	RNA-polymerase II-associated protein 3-like, C-terminal domain
      1 IPR025876	Trafficking protein particle complex subunit 11, C-terminal
      1 IPR025875	Leucine rich repeat 4
      1 IPR025766	ADD domain
      1 IPR025755	60S ribosomal protein L4, C-terminal domain
      1 IPR025110	AMP-binding enzyme, C-terminal domain
      1 IPR024989	Major facilitator superfamily associated domain
      1 IPR024964	CTLH/CRA C-terminal to LisH motif domain
      1 IPR024940	Transcription factor TCF/LEF
      1 IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
      1 IPR024884	N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D
      1 IPR024874	Transcription factor Maf family
      1 IPR024791	Cytochrome c oxidase subunit III
      1 IPR024731	EGF domain
      1 IPR024610	Inhibitor of growth protein, N-terminal histone-binding
      1 IPR024598	Splicing factor SF3a60 subunit  C-terminal
      1 IPR024314	Suppressor of fused C-terminal
      1 IPR024138	Pericentriolar material 1 protein
      1 IPR024111	Peroxisomal targeting signal 1 receptor family
      1 IPR024034	ATPase, F1/V1 complex, beta/alpha subunit, C-terminal
      1 IPR023578	Ras guanine nucleotide exchange factor domain superfamily
      1 IPR023561	Carbonic anhydrase, alpha-class
      1 IPR023329	Chlorophyll a/b binding domain superfamily
      1 IPR023313	Ubiquitin-conjugating enzyme, active site
      1 IPR023298	P-type ATPase, transmembrane domain superfamily
      1 IPR023213	Chloramphenicol acetyltransferase-like domain superfamily
      1 IPR023174	3'5'-cyclic nucleotide phosphodiesterase, conserved site
      1 IPR023152	Ras GTPase-activating protein, conserved site
      1 IPR023076	Hydroxymethylglutaryl-CoA reductase, class I/II, conserved site
      1 IPR022967	RNA-binding domain, S1
      1 IPR022879	V-type ATP synthase regulatory subunit B/beta
      1 IPR022878	V-type ATP synthase catalytic alpha chain
      1 IPR022796	Chlorophyll A-B binding protein
      1 IPR022761	Fumarate lyase, N-terminal
      1 IPR022096	SBF1/SBF2 domain
      1 IPR022075	Symplekin  C-terminal
      1 IPR022052	Histone-binding protein RBBP4, N-terminal
      1 IPR021990	Mediator complex, subunit Med12, LCEWAV-domain
      1 IPR021850	Symplekin/Pta1
      1 IPR021717	Nucleoporin Nup120/160
      1 IPR021569	TUG ubiquitin-like domain
      1 IPR020946	Flavin monooxygenase-like
      1 IPR020904	Short-chain dehydrogenase/reductase, conserved site
      1 IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
      1 IPR020849	Small GTPase superfamily, Ras-type
      1 IPR020845	AMP-binding, conserved site
      1 IPR020568	Ribosomal protein S5 domain 2-type fold
      1 IPR020557	Fumarate lyase, conserved site
      1 IPR020067	Frizzled domain
      1 IPR020003	ATPase, alpha/beta subunit, nucleotide-binding domain, active site
      1 IPR019817	Interferon regulatory factor, conserved site
      1 IPR019787	Zinc finger, PHD-finger
      1 IPR019786	Zinc finger, PHD-type, conserved site
      1 IPR019762	Dynamin, GTPase region, conserved site
      1 IPR019747	FERM conserved site
      1 IPR019610	Iron sulphur domain-containing, mitoNEET, N-terminal
      1 IPR019561	Translocon Sec61/SecY, plug domain
      1 IPR019458	Telomerase activating protein Est1
      1 IPR019402	Frag1/DRAM/Sfk1
      1 IPR019383	Golgin subfamily A member 7/ERF4
      1 IPR019355	Cell cycle regulator Mat89Bb
      1 IPR019308	Transmembrane protein 214
      1 IPR019087	Mediator of RNA polymerase II transcription subunit 15
      1 IPR019038	DNA polymerase delta subunit 3
      1 IPR018957	Zinc finger, C3HC4 RING-type
      1 IPR018951	Fumarase C, C-terminal
      1 IPR018933	Netrin module, non-TIMP type
      1 IPR018799	TRAF3-interacting protein 1
      1 IPR018499	Tetraspanin/Peripherin
      1 IPR018338	Carbonic anhydrase, alpha-class, conserved site
      1 IPR018269	Ribosomal protein S13, conserved site
      1 IPR018262	Ribosomal protein L27e, conserved site
      1 IPR018232	Glycoside hydrolase, family 37, conserved site
      1 IPR018222	Nuclear transport factor 2, eukaryote
      1 IPR018200	Ubiquitin specific protease, conserved site
      1 IPR018170	Aldo/keto reductase, conserved site
      1 IPR017440	ATP-citrate lyase/succinyl-CoA ligase, active site
      1 IPR017438	Inorganic polyphosphate/ATP-NAD kinase, N-terminal
      1 IPR017281	Myeloid differentiation primary response protein MyD88
      1 IPR016897	S-phase kinase-associated protein 1
      1 IPR016833	Putative sodium bile acid cotransporter
      1 IPR016643	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit
      1 IPR016496	GTPase HflX
      1 IPR016460	Coatomer beta subunit (COPB1)
      1 IPR016193	Cytidine deaminase-like
      1 IPR016192	APOBEC/CMP deaminase, zinc-binding
      1 IPR016187	C-type lectin fold
      1 IPR016186	C-type lectin-like/link domain superfamily
      1 IPR016162	Aldehyde dehydrogenase, N-terminal
      1 IPR016161	Aldehyde/histidinol dehydrogenase
      1 IPR016095	Ribosomal protein L1, 3-layer alpha/beta-sandwich
      1 IPR016073	SKP1 component, POZ domain
      1 IPR016072	SKP1 component, dimerisation
      1 IPR016066	Alpha-D-phosphohexomutase, conserved site
      1 IPR016064	NAD kinase/diacylglycerol kinase-like domain superfamily
      1 IPR016055	Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III
      1 IPR016054	Ly-6 antigen/uPA receptor-like
      1 IPR016020	Translation initiation factor 3, subunit 12, N-terminal, eukaryotic
      1 IPR015947	PUA-like superfamily
      1 IPR015912	Phosphofructokinase, conserved site
      1 IPR015727	Protein kinase C mu-related
      1 IPR015720	Transmembrane emp24 domain-containing protein
      1 IPR015655	Protein phosphatase 2C family
      1 IPR015648	Transcription factor DP
      1 IPR015526	Frizzled/secreted frizzled-related protein
      1 IPR015517	Deoxycytidylate deaminase-related
      1 IPR015424	Pyridoxal phosphate-dependent transferase
      1 IPR015421	Pyridoxal phosphate-dependent transferase, major domain
      1 IPR015353	Rubisco LSMT, substrate-binding domain
      1 IPR015195	SLIDE domain
      1 IPR015194	ISWI, HAND domain
      1 IPR015016	Splicing factor 3B subunit 1
      1 IPR014896	NHR2-like
      1 IPR014876	DEK, C-terminal
      1 IPR014830	Glycolipid transfer protein domain
      1 IPR014721	Ribosomal protein S5 domain 2-type fold, subgroup
      1 IPR014352	FERM/acyl-CoA-binding protein superfamily
      1 IPR014014	RNA helicase, DEAD-box type, Q motif
      1 IPR014010	REJ domain
      1 IPR014001	Helicase superfamily 1/2, ATP-binding domain
      1 IPR013979	Translation initiation factor, beta propellor-like domain
      1 IPR013947	Mediator complex, subunit Med14
      1 IPR013833	Cytochrome c oxidase, subunit III, 4-helical bundle
      1 IPR013785	Aldolase-type TIM barrel
      1 IPR013780	Glycosyl hydrolase, all-beta
      1 IPR013680	Voltage-dependent calcium channel, alpha-2/delta subunit, conserved region
      1 IPR013606	IMD/I-BAR domain
      1 IPR013602	Dynein heavy chain, domain-2
      1 IPR013598	Exportin-1/Importin-beta-like
      1 IPR013126	Heat shock protein 70 family
      1 IPR013120	Fatty acyl-coenzyme A reductase, NAD-binding domain
      1 IPR013099	Potassium channel domain
      1 IPR013041	Clathrin adaptor, appendage, Ig-like subdomain superfamily
      1 IPR013032	EGF-like, conserved site
      1 IPR013000	Ribosomal protein L4/L1e, eukaryotic/archaeal, conserved site
      1 IPR012716	T-complex protein 1, beta subunit
      1 IPR012577	NIPSNAP
      1 IPR012388	CDK5 and ABL1 enzyme substrate 1/2
      1 IPR012349	FMN-binding split barrel
      1 IPR012337	Ribonuclease H-like superfamily
      1 IPR012227	TNF receptor-associated factor TRAF, metazoa
      1 IPR011767	Glutaredoxin active site
      1 IPR011765	Peptidase M16, N-terminal
      1 IPR011761	ATP-grasp fold
      1 IPR011710	Coatomer beta subunit, C-terminal
      1 IPR011682	Glycosyl hydrolase family 38, C-terminal
      1 IPR011613	GH15-like domain
      1 IPR011576	Pyridoxamine 5'-phosphate oxidase, putative
      1 IPR011387	Translation initiation factor 2A
      1 IPR011333	SKP1/BTB/POZ domain superfamily
      1 IPR011263	DNA-directed RNA polymerase, RpoA/D/Rpb3-type
      1 IPR011146	HIT-like domain
      1 IPR011106	Seven cysteines, N-terminal
      1 IPR011063	tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal
      1 IPR011057	Mss4-like superfamily
      1 IPR011013	Galactose mutarotase-like domain superfamily
      1 IPR011008	Dimeric alpha-beta barrel
      1 IPR010987	Glutathione S-transferase, C-terminal-like
      1 IPR010979	Ribosomal protein S13-like, H2TH
      1 IPR010703	Dedicator of cytokinesis, C-terminal
      1 IPR010326	Exocyst complex component EXOC3/Sec6
      1 IPR009917	SRA1/Sec31
      1 IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily
      1 IPR009071	High mobility group box domain
      1 IPR009001	Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal
      1 IPR009000	Translation protein, beta-barrel domain superfamily
      1 IPR008991	Translation protein SH3-like domain superfamily
      1 IPR008948	L-Aspartase-like
      1 IPR008937	Ras-like guanine nucleotide exchange factor
      1 IPR008928	Six-hairpin glycosidase superfamily
      1 IPR008917	Transcription factor, Skn-1-like, DNA-binding domain superfamily
      1 IPR008914	Phosphatidylethanolamine-binding protein
      1 IPR008795	Prominin
      1 IPR008734	Phosphorylase kinase alpha/beta subunit
      1 IPR008365	Prostanoid receptor
      1 IPR008261	Iodothyronine deiodinase, active site
      1 IPR008011	Complex 1 LYR protein
      1 IPR007949	SDA1 domain
      1 IPR007863	Peptidase M16, C-terminal
      1 IPR007862	Adenylate kinase, active site lid domain
      1 IPR007768	Suppressor of fused
      1 IPR007639	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal
      1 IPR007638	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
      1 IPR007603	Choline transporter-like
      1 IPR007529	Zinc finger, HIT-type
      1 IPR007243	Atg6/Beclin
      1 IPR007125	Histone H2A/H2B/H3
      1 IPR007042	SERRATE/Ars2 , C-terminal
      1 IPR006977	Yip1 domain
      1 IPR006846	Ribosomal protein S30
      1 IPR006759	Glycosyl transferase family 54
      1 IPR006639	Presenilin/signal peptide peptidase
      1 IPR006598	Glycosyl transferase CAP10 domain
      1 IPR006594	LIS1 homology motif
      1 IPR006539	P-type ATPase, subfamily IV
      1 IPR006259	Adenylate kinase subfamily
      1 IPR006195	Aminoacyl-tRNA synthetase, class II
      1 IPR006183	6-phosphogluconate dehydrogenase
      1 IPR006073	GTP binding domain
      1 IPR006016	UspA
      1 IPR005844	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
      1 IPR005821	Ion transport domain
      1 IPR005811	ATP-citrate lyase/succinyl-CoA ligase
      1 IPR005804	Fatty acid desaturase domain
      1 IPR005788	Disulphide isomerase
      1 IPR005746	Thioredoxin
      1 IPR005677	Fumarate hydratase, class II
      1 IPR005334	Dynein light chain Tctex-1 like
      1 IPR005135	Endonuclease/exonuclease/phosphatase
      1 IPR005108	HELP
      1 IPR004837	Sodium/calcium exchanger membrane region
      1 IPR004835	Chitin synthase
      1 IPR004826	Basic leucine zipper domain, Maf-type
      1 IPR004680	Citrate transporter-like domain
      1 IPR004582	Checkpoint protein Rad17/Rad24
      1 IPR004531	Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archae/euk cytosolic
      1 IPR004269	Folate receptor
      1 IPR004263	Exostosin-like
      1 IPR004182	GRAM domain
      1 IPR004161	Translation elongation factor EFTu-like, domain 2
      1 IPR004160	Translation elongation factor EFTu/EF1A, C-terminal
      1 IPR004139	Glycosyl transferase, family 13
      1 IPR004100	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
      1 IPR004098	Prp18
      1 IPR004088	K Homology domain, type 1
      1 IPR004046	Glutathione S-transferase, C-terminal
      1 IPR003892	Ubiquitin system component CUE
      1 IPR003846	Protein adenylyltransferase SelO
      1 IPR003806	ATP-grasp fold, PylC-type
      1 IPR003609	PAN/Apple domain
      1 IPR003607	HD/PDEase domain
      1 IPR003593	AAA+ ATPase domain
      1 IPR003578	Small GTPase Rho
      1 IPR003392	Protein patched/dispatched
      1 IPR003379	Carboxylase, conserved domain
      1 IPR003347	JmjC domain
      1 IPR003325	TerD domain
      1 IPR003316	E2F/DP family, winged-helix DNA-binding domain
      1 IPR003171	Methylenetetrahydrofolate reductase-like
      1 IPR003033	SCP2 sterol-binding domain
      1 IPR003029	S1 domain
      1 IPR003006	Immunoglobulin/major histocompatibility complex, conserved site
      1 IPR002937	Amine oxidase
      1 IPR002890	Macroglobulin domain
      1 IPR002889	Carbohydrate-binding WSC
      1 IPR002716	PIN domain
      1 IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)
      1 IPR002300	Aminoacyl-tRNA synthetase, class Ia
      1 IPR002136	Ribosomal protein L4/L1e
      1 IPR002014	VHS domain
      1 IPR001965	Zinc finger, PHD-type
      1 IPR001753	Enoyl-CoA hydratase/isomerase
      1 IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit
      1 IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site
      1 IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
      1 IPR001382	Glycoside hydrolase family 47
      1 IPR001373	Cullin, N-terminal
      1 IPR001298	Filamin/ABP280 repeat
      1 IPR001279	Metallo-beta-lactamase
      1 IPR001232	S-phase kinase-associated protein 1-like
      1 IPR001223	Glycoside hydrolase family 18, catalytic domain
      1 IPR001134	Netrin domain
      1 IPR001085	Serine hydroxymethyltransferase
      1 IPR001078	2-oxoacid dehydrogenase acyltransferase, catalytic domain
      1 IPR000788	Ribonucleotide reductase large subunit, C-terminal
      1 IPR000749	ATP:guanido phosphotransferase
      1 IPR000717	Proteasome component (PCI) domain
      1 IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site
      1 IPR000541	Cytoplasmic tRNA 2-thiolation protein 1
      1 IPR000477	Reverse transcriptase domain
      1 IPR000357	HEAT repeat
      1 IPR000299	FERM domain
      1 IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
      1 IPR000159	Ras-associating (RA) domain
      1 IPR000126	Serine proteases, V8 family, serine active site
      1 IPR000053	Thymidine/pyrimidine-nucleoside phosphorylase
      1 IPR000023	Phosphofructokinase domain
